Category,Model,RMSE,MAE,R² Score
Traditional ML,LightGBM,8.750987500276835,6.5973255769929935,0.9927184460185045
Traditional ML,XGBoost,9.280868984840241,7.096926212310791,0.9918099641799927
Deep Learning,GRU,45.14121387992992,33.79281286219825,0.8075145023398869
Deep Learning,LSTM,48.945484440121,38.39309784780324,0.7737040351003609
Time Series,"SARIMAX(1, 0, 3)x(1, 0, 1, 7)",69.08446875919947,37.78409257555773,0.5461934174254581
Time Series,"ARIMA(2, 0, 1)",103.67348704224221,86.98197383640114,-0.021986970413598872
